model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 A Class,2017,27990,Semi-Auto,17299,Petrol,200,40.9,2.0
 CL Class,2015,14550,Semi-Auto,30369,Diesel,20,62.8,2.1
 A Class,2016,16411,Semi-Auto,18914,Diesel,20,68.9,2.1
 C Class,2017,16991,Semi-Auto,29907,Diesel,145,64.2,2.1
 GLC Class,2016,26320,Semi-Auto,26065,Diesel,145,56.5,2.1
 GLA Class,2018,20990,Semi-Auto,18166,Diesel,145,56.5,2.1
 A Class,2017,27490,Semi-Auto,31775,Petrol,145,40.9,2.0
 E Class,2016,18300,Automatic,36188,Diesel,30,65.7,2.0
 GLA Class,2018,18950,Semi-Auto,11577,Diesel,145,67.3,2.1
 GLC Class,2017,22750,Semi-Auto,29929,Diesel,145,56.5,2.1
 A Class,2019,21250,Semi-Auto,4878,Petrol,145,53.3,1.3
 GLE Class,2017,27950,Semi-Auto,14156,Diesel,145,47.9,2.1
 GLE Class,2016,29990,Semi-Auto,63250,Diesel,145,32.5,3.0
 E Class,2016,21990,Automatic,32266,Diesel,160,51.4,3.0
 C Class,2016,20490,Semi-Auto,10542,Petrol,125,51.4,2.0
 E Class,2015,14980,Semi-Auto,59101,Diesel,160,51.4,2.1
 GLS Class,2018,43990,Automatic,10405,Diesel,145,37.2,3.0
 CL Class,2017,20750,Semi-Auto,9447,Diesel,145,67.3,2.1
 C Class,2018,26625,Automatic,7175,Diesel,145,57.7,2.0
 E Class,2019,23690,Semi-Auto,14077,Diesel,145,72.4,2.0
 CL Class,2019,25240,Automatic,14049,Diesel,145,51.4,2.2
 A Class,2019,18240,Automatic,15806,Diesel,145,68.9,1.5
 GLC Class,2017,24780,Automatic,27484,Diesel,145,56.5,2.1
 GLC Class,2017,24510,Automatic,26995,Diesel,145,56.5,2.1
 GLC Class,2019,32340,Automatic,1303,Diesel,145,44.8,2.0
 A Class,2019,20991,Semi-Auto,8728,Petrol,145,53.3,1.3
 GLC Class,2019,27890,Automatic,19072,Diesel,145,56.5,2.1
 A Class,2019,21291,Semi-Auto,13361,Diesel,145,67.3,1.5
 A Class,2019,21190,Semi-Auto,14703,Diesel,145,67.3,1.5
 E Class,2019,22990,Semi-Auto,15956,Diesel,145,72.4,2.0
 A Class,2019,18990,Semi-Auto,13145,Diesel,145,68.9,1.5
 C Class,2017,21650,Automatic,33943,Petrol,145,47.1,2.0
 E Class,2019,42590,Automatic,12419,Petrol,145,32.5,3.0
 C Class,2019,24690,Semi-Auto,15210,Petrol,145,47.1,1.5
 C Class,2017,18270,Semi-Auto,49783,Diesel,30,64.2,2.1
 GLC Class,2018,24690,Semi-Auto,40422,Diesel,145,56.5,2.1
 E Class,2015,13000,Semi-Auto,50963,Diesel,125,61.4,2.1
 GLC Class,2018,28295,Semi-Auto,15000,Diesel,145,56.5,2.1
 V Class,2018,20498,Manual,21681,Diesel,145,46.3,2.1
 CLS Class,2013,11998,Semi-Auto,60090,Diesel,200,46.3,3.0
 A Class,2013,14498,Semi-Auto,25064,Petrol,160,45.6,2.0
 B Class,2017,13298,Manual,31705,Diesel,150,68.9,1.5
 GLE Class,2017,28498,Semi-Auto,26416,Diesel,205,47.9,2.1
 GLA Class,2016,15998,Manual,34699,Diesel,20,67.3,2.1
 A Class,2015,11998,Semi-Auto,50244,Diesel,20,68.9,1.5
 C Class,2017,15990,Semi-Auto,38051,Diesel,20,64.2,2.1
 A Class,2019,20741,Semi-Auto,11112,Petrol,145,53.3,1.3
 C Class,2017,20591,Semi-Auto,21023,Diesel,30,64.2,2.1
 GLC Class,2019,27991,Semi-Auto,8811,Diesel,145,41.5,2.1
 C Class,2016,19991,Semi-Auto,35975,Diesel,20,67.3,2.1
 GLS Class,2017,38580,Automatic,22957,Diesel,145,37.2,3.0
 GLA Class,2016,18435,Semi-Auto,40882,Diesel,125,56.5,2.1
 A Class,2018,20490,Semi-Auto,640,Petrol,145,53.3,1.3
 A Class,2018,17990,Semi-Auto,20238,Petrol,145,53.3,1.3
 A Class,2019,19990,Semi-Auto,8293,Petrol,145,53.3,1.3
 A Class,2018,18490,Semi-Auto,10857,Petrol,145,53.3,1.3
 A Class,2019,18085,Semi-Auto,14669,Diesel,145,68.9,1.5
 C Class,2019,18790,Semi-Auto,14288,Diesel,145,64.2,2.1
 GLC Class,2017,29991,Semi-Auto,22489,Diesel,150,56.5,2.1
 GLA Class,2017,16990,Semi-Auto,36414,Diesel,30,64.2,2.1
 C Class,2019,30055,Automatic,3686,Diesel,145,54.3,2.0
 A Class,2019,20640,Semi-Auto,5864,Petrol,145,53.3,1.3
 A Class,2019,19599,Manual,13993,Petrol,145,28.5,1.3
 A Class,2019,20450,Manual,8428,Petrol,145,28.5,1.3
 A Class,2016,13490,Semi-Auto,33530,Diesel,20,74.3,1.5
 CL Class,2017,19290,Semi-Auto,26626,Diesel,20,67.3,2.1
 GLC Class,2016,20990,Automatic,44013,Diesel,125,56.5,2.1
 A Class,2016,14490,Manual,33626,Petrol,145,49.6,1.6
 GLC Class,2017,33990,Semi-Auto,45129,Petrol,145,34.0,3.0
 E Class,2017,19490,Semi-Auto,24046,Diesel,30,65.7,2.0
 B Class,2016,13291,Semi-Auto,45250,Diesel,20,68.9,2.1
 C Class,2015,18191,Semi-Auto,11470,Diesel,30,64.2,1.6
 C Class,2016,20991,Semi-Auto,26205,Diesel,125,58.9,2.1
 C Class,2017,20871,Semi-Auto,37194,Diesel,145,65.7,2.1
 C Class,2018,25891,Semi-Auto,2240,Petrol,145,44.1,2.0
 CL Class,2016,18391,Semi-Auto,42192,Diesel,20,67.3,2.1
 GLE Class,2017,28991,Semi-Auto,17314,Diesel,145,47.9,2.1
 GLC Class,2016,22498,Semi-Auto,25220,Diesel,125,56.5,2.1
 GLC Class,2017,24498,Semi-Auto,36058,Diesel,125,56.5,2.1
 C Class,2015,13498,Manual,31125,Diesel,20,70.6,2.1
 M Class,2015,21998,Automatic,22976,Diesel,300,39.2,3.0
 GLA Class,2014,15898,Automatic,38004,Diesel,145,55.4,2.1
 C Class,2017,19798,Semi-Auto,19877,Hybrid,0,134.5,2.0
 M Class,2014,16998,Automatic,59812,Diesel,300,39.2,3.0
 E Class,2017,21998,Semi-Auto,18812,Diesel,150,65.7,2.0
 GLE Class,2017,30298,Semi-Auto,12805,Diesel,150,47.9,2.1
 C Class,2019,24498,Semi-Auto,7937,Petrol,150,47.1,1.5
 A Class,2017,14270,Semi-Auto,65000,Diesel,20,68.9,2.1
 V Class,2018,19498,Manual,29723,Diesel,145,46.3,2.1
 CLS Class,2015,17998,Semi-Auto,46725,Diesel,145,56.5,2.1
 C Class,2017,21998,Semi-Auto,11986,Petrol,150,48.7,2.0
 GLE Class,2016,34998,Semi-Auto,17525,Diesel,300,39.2,3.0
 A Class,2017,16498,Semi-Auto,37010,Diesel,145,68.9,2.1
 CLS Class,2016,21998,Semi-Auto,20306,Diesel,165,51.4,3.0
 CL Class,2014,13495,Semi-Auto,35677,Diesel,30,62.8,2.1
 C Class,2015,14500,Semi-Auto,38783,Diesel,20,64.2,2.1
 GLE Class,2016,34698,Semi-Auto,27229,Diesel,305,39.2,3.0
 E Class,2018,31998,Semi-Auto,9000,Diesel,145,70.6,2.0
 E Class,2019,22990,Semi-Auto,14664,Diesel,145,72.4,2.0
 E Class,2019,41550,Automatic,159,Petrol,145,31.7,3.0
 E Class,2016,18991,Semi-Auto,27834,Diesel,30,65.7,2.0
 GLA Class,2016,15561,Semi-Auto,71610,Diesel,125,56.6,2.1
 A Class,2019,19991,Semi-Auto,13570,Petrol,145,53.3,1.3
 A Class,2019,19531,Manual,17447,Petrol,145,28.5,1.3
 A Class,2019,21530,Semi-Auto,14817,Diesel,145,67.3,1.5
 B Class,2018,17990,Automatic,6217,Diesel,145,68.9,2.1
 C Class,2015,13361,Semi-Auto,35034,Petrol,125,53.3,2.0
 GLE Class,2017,27692,Semi-Auto,29548,Diesel,260,42.8,3.0
 A Class,2019,21035,Automatic,3166,Petrol,145,47.9,1.3
 C Class,2017,17490,Semi-Auto,35576,Diesel,145,64.2,2.1
 C Class,2019,26427,Automatic,13888,Diesel,145,55.4,2.0
 A Class,2018,20570,Semi-Auto,1468,Petrol,145,53.3,1.3
 A Class,2018,18990,Semi-Auto,5020,Petrol,145,53.3,1.3
 C Class,2017,21991,Semi-Auto,19953,Diesel,145,67.3,2.1
 A Class,2019,20991,Semi-Auto,2513,Diesel,145,65.7,1.5
 GLA Class,2018,21591,Semi-Auto,11700,Diesel,145,56.5,2.1
 CL Class,2017,17990,Manual,24377,Diesel,20,67.3,2.1
 A Class,2019,20990,Semi-Auto,14975,Diesel,145,67.3,1.5
 A Class,2019,18190,Semi-Auto,12162,Diesel,145,65.7,1.5
 E Class,2019,22990,Semi-Auto,14107,Diesel,145,72.4,2.0
 C Class,2018,20890,Semi-Auto,3033,Petrol,145,44.1,1.5
 A Class,2019,19250,Manual,11381,Petrol,145,28.5,1.3
 A Class,2019,20990,Manual,2158,Petrol,145,47.1,1.3
 A Class,2019,20750,Semi-Auto,3915,Petrol,145,47.9,1.3
 A Class,2019,18190,Automatic,13264,Diesel,145,68.9,1.5
 GLE Class,2018,29990,Semi-Auto,15523,Diesel,145,42.8,3.0
 CLS Class,2018,23995,Semi-Auto,24315,Diesel,145,57.7,2.1
 C Class,2015,12590,Semi-Auto,65000,Diesel,150,53.3,2.1
 GLA Class,2016,16485,Manual,12400,Diesel,20,64.2,2.1
 GLA Class,2015,13485,Semi-Auto,72000,Diesel,150,55.4,2.1
 CL Class,2018,18940,Automatic,20000,Diesel,150,70.6,2.1
 C Class,2018,20885,Semi-Auto,22773,Diesel,145,61.4,2.1
 GLC Class,2018,26890,Semi-Auto,15200,Diesel,145,41.5,2.1
 A Class,2018,15995,Manual,16782,Diesel,145,72.4,1.5
 C Class,2014,25885,Semi-Auto,37000,Petrol,570,23.5,6.2
 E Class,2018,20485,Semi-Auto,31784,Diesel,145,72.4,2.0
 C Class,2016,14965,Semi-Auto,30487,Diesel,20,65.7,2.1
 E Class,2017,20480,Semi-Auto,30567,Diesel,145,65.7,2.0
 S Class,2018,41990,Semi-Auto,7527,Diesel,145,52.3,3.0
 C Class,2017,16595,Automatic,29814,Diesel,20,65.7,2.1
 C Class,2018,17940,Semi-Auto,28050,Diesel,145,64.2,2.1
 GLA Class,2016,18485,Semi-Auto,27931,Diesel,125,56.5,2.1
 C Class,2018,19940,Semi-Auto,18882,Diesel,145,61.4,2.1
 GLC Class,2016,18990,Semi-Auto,70560,Diesel,125,56.5,2.1
 CL Class,2017,17698,Manual,11472,Petrol,145,48.7,1.6
 GL Class,2013,25998,Automatic,60462,Diesel,325,35.3,3.0
 C Class,2015,17450,Semi-Auto,37000,Diesel,30,64.2,2.1
 M Class,2015,18495,Semi-Auto,71000,Diesel,200,46.3,2.1
 GLE Class,2015,24950,Semi-Auto,43800,Diesel,200,47.9,2.1
 C Class,2016,14450,Semi-Auto,34000,Diesel,20,65.7,2.1
 E Class,2014,11950,Semi-Auto,70000,Diesel,145,54.3,2.1
 GLC Class,2017,21950,Semi-Auto,57000,Diesel,125,56.5,2.1
 A Class,2016,13695,Manual,41600,Diesel,0,80.7,1.5
 C Class,2015,16440,Semi-Auto,29286,Diesel,20,64.2,2.1
 C Class,2014,9891,Semi-Auto,52500,Diesel,125,57.7,2.1
 C Class,2017,24735,Semi-Auto,22369,Diesel,145,61.4,2.1
 GLA Class,2017,20999,Semi-Auto,29209,Diesel,125,56.5,2.1
 A Class,2016,14999,Semi-Auto,19286,Petrol,125,53.3,1.6
 A Class,2017,16999,Manual,17781,Petrol,145,49.6,1.6
 GLC Class,2016,29499,Semi-Auto,19932,Diesel,145,56.5,2.1
 GLA Class,2016,17990,Semi-Auto,30171,Diesel,125,56.5,2.1
 C Class,2019,27000,Semi-Auto,6406,Diesel,145,64.2,2.0
 GLA Class,2015,19991,Semi-Auto,29087,Petrol,200,42.8,2.0
 E Class,2017,21391,Semi-Auto,16654,Diesel,145,72.4,2.0
 GLC Class,2017,25991,Semi-Auto,16008,Diesel,145,56.5,2.1
 CL Class,2019,37999,Semi-Auto,3647,Petrol,145,40.9,2.0
 A Class,2020,26999,Semi-Auto,2000,Diesel,145,62.8,1.5
 GLE Class,2019,45990,Semi-Auto,9600,Diesel,145,36.7,3.0
 GLA Class,2016,18999,Semi-Auto,36899,Diesel,125,56.5,2.1
 A Class,2020,26499,Semi-Auto,2600,Petrol,145,53.3,1.3
 B Class,2014,7495,Semi-Auto,70122,Diesel,20,68.9,1.5
 A Class,2016,12390,Manual,49846,Diesel,20,72.4,1.5
 E Class,2014,11495,Semi-Auto,40019,Diesel,30,58.9,2.1
 SLK,2013,10495,Semi-Auto,18105,Diesel,150,56.5,2.0
 E Class,2019,24489,Semi-Auto,22561,Diesel,145,61.4,2.0
 GLE Class,2016,29999,Semi-Auto,30138,Diesel,200,47.9,2.1
 GLC Class,2017,24998,Semi-Auto,53351,Diesel,145,56.5,2.1
 V Class,2018,20698,Manual,13013,Diesel,145,46.3,2.1
 V Class,2018,19998,Manual,23183,Diesel,145,46.3,2.1
 C Class,2015,16998,Semi-Auto,26273,Petrol,125,52.3,2.0
 GLC Class,2017,32998,Semi-Auto,29265,Petrol,300,34.0,3.0
 GLC Class,2017,25998,Semi-Auto,20804,Diesel,125,56.5,2.1
 GLE Class,2017,31998,Semi-Auto,30227,Diesel,300,39.2,3.0
 C Class,2017,22498,Semi-Auto,22888,Diesel,20,67.3,2.1
 B Class,2015,12998,Semi-Auto,26125,Diesel,20,67.3,1.5
 B Class,2017,12499,Manual,40219,Diesel,145,68.9,1.5
 E Class,2016,17791,Semi-Auto,35279,Diesel,125,58.9,2.1
 A Class,2016,13999,Manual,28024,Diesel,20,72.4,1.5
 GLC Class,2019,38999,Semi-Auto,9487,Diesel,145,40.9,2.0
 SL CLASS,2019,57995,Automatic,1201,Petrol,145,29.4,3.0
 GLA Class,2014,17998,Semi-Auto,34271,Petrol,200,42.8,2.0
 GLA Class,2016,17999,Semi-Auto,35231,Diesel,125,56.6,2.1
 C Class,2017,17495,Semi-Auto,25149,Petrol,145,51.4,2.0
 GLA Class,2018,21999,Semi-Auto,17306,Diesel,145,56.5,2.1
 E Class,2018,22699,Semi-Auto,18770,Diesel,145,67.3,2.0
 GLC Class,2017,24999,Semi-Auto,29897,Diesel,125,56.5,2.1
 GLA Class,2016,17999,Semi-Auto,33086,Diesel,125,56.5,2.1
 GLA Class,2015,17450,Semi-Auto,38100,Diesel,125,55.4,2.1
 E Class,2015,16499,Semi-Auto,40085,Diesel,160,51.4,2.1
 E Class,2016,17999,Semi-Auto,42217,Diesel,20,72.4,2.0
 S Class,2019,89999,Semi-Auto,1400,Petrol,145,34.0,4.0
 GLE Class,2019,56499,Semi-Auto,4315,Petrol,145,29.5,3.0
 C Class,2019,31999,Semi-Auto,1052,Diesel,145,48.7,2.0
 GLA Class,2017,16999,Manual,33014,Petrol,145,48.7,1.6
 E Class,2019,55499,Semi-Auto,2991,Petrol,145,31.7,3.0
 GLE Class,2019,46999,Semi-Auto,3769,Diesel,145,36.7,2.0
 C Class,2019,25495,Semi-Auto,5947,Petrol,145,42.2,1.6
 C Class,2019,36995,Automatic,2749,Diesel,145,54.3,2.0
 C Class,2019,30999,Semi-Auto,7144,Diesel,145,57.7,2.0
 A Class,2019,24995,Semi-Auto,4500,Diesel,145,67.3,1.5
 CLS Class,2019,44999,Semi-Auto,4000,Diesel,145,47.9,2.9
 C Class,2019,29999,Semi-Auto,4843,Diesel,145,57.7,2.0
 GLA Class,2016,19999,Semi-Auto,17344,Diesel,125,56.5,2.1
 E Class,2017,23499,Semi-Auto,20776,Diesel,125,58.9,2.0
 GLC Class,2018,28499,Semi-Auto,21659,Diesel,145,56.5,2.1
 GLC Class,2020,39499,Semi-Auto,305,Petrol,145,32.1,2.0
 GLC Class,2017,24999,Semi-Auto,17706,Diesel,125,56.5,2.1
 B Class,2017,13999,Manual,17341,Diesel,20,67.3,2.1
 C Class,2019,26499,Semi-Auto,7060,Diesel,145,56.5,2.0
 A Class,2020,26999,Semi-Auto,1000,Diesel,145,67.3,1.5
 A Class,2020,23999,Semi-Auto,2300,Petrol,145,53.3,1.3
 A Class,2020,23999,Semi-Auto,2000,Petrol,145,53.3,1.3
 B Class,2020,25999,Semi-Auto,2000,Diesel,145,55.4,2.0
 E Class,2018,23499,Semi-Auto,13904,Diesel,145,67.3,2.0
 A Class,2018,19490,Automatic,6731,Petrol,145,53.3,1.3
 C Class,2019,29290,Semi-Auto,4703,Diesel,145,57.7,2.0
 A Class,2019,20461,Semi-Auto,14658,Petrol,145,53.3,1.3
 C Class,2017,23047,Semi-Auto,8143,Diesel,145,65.7,2.1
 CLS Class,2015,17991,Semi-Auto,29139,Diesel,125,57.7,2.1
 C Class,2016,20700,Semi-Auto,27890,Diesel,20,67.3,2.1
 GLC Class,2019,33495,Semi-Auto,12344,Diesel,145,56.5,2.1
 GLA Class,2015,16791,Semi-Auto,42328,Diesel,145,55.4,2.1
 C Class,2016,17699,Semi-Auto,43236,Diesel,30,61.4,2.1
 C Class,2019,27791,Semi-Auto,9057,Diesel,145,56.5,2.0
 A Class,2019,18499,Semi-Auto,14978,Diesel,145,65.7,1.5
 A Class,2019,18499,Semi-Auto,14736,Diesel,145,65.7,1.5
 A Class,2019,18499,Semi-Auto,15383,Diesel,145,65.7,1.5
 A Class,2019,18499,Semi-Auto,18585,Diesel,145,65.7,1.5
 A Class,2019,18499,Semi-Auto,17160,Diesel,145,65.7,1.5
 E Class,2019,24491,Semi-Auto,12231,Diesel,145,72.4,2.0
 GLE Class,2020,54999,Semi-Auto,3600,Diesel,145,32.8,2.9
 A Class,2019,18499,Semi-Auto,14521,Diesel,145,65.7,1.5
 E Class,2018,27999,Semi-Auto,5170,Diesel,145,58.9,2.0
 C Class,2016,21299,Semi-Auto,12249,Petrol,150,49.6,2.0
 C Class,2017,17999,Semi-Auto,37564,Hybrid,0,134.5,2.0
 C Class,2019,19999,Semi-Auto,14360,Petrol,150,46.3,1.5
 A Class,2019,104999,Semi-Auto,5822,Petrol,150,22.6,4.0
 C Class,2017,21999,Semi-Auto,10288,Petrol,150,47.9,2.0
 GLC Class,2017,24699,Semi-Auto,28982,Diesel,125,56.5,2.1
 CLS Class,2017,20999,Semi-Auto,30987,Diesel,125,57.7,2.1
 A Class,2020,24799,Semi-Auto,1400,Petrol,145,28.5,1.3
 SL CLASS,2020,32999,Semi-Auto,600,Petrol,145,36.7,2.0
 E Class,2019,24491,Semi-Auto,10764,Diesel,145,72.4,2.0
 B Class,2017,13999,Manual,16168,Diesel,145,68.9,1.5
 E Class,2019,39999,Automatic,5000,Diesel,145,42.8,3.0
 C Class,2019,31990,Semi-Auto,4615,Diesel,145,54.3,2.0
 C Class,2018,20999,Semi-Auto,9250,Petrol,145,46.3,1.5
 CLS Class,2019,35499,Semi-Auto,12057,Diesel,145,48.7,2.9
 GLC Class,2017,24695,Semi-Auto,33620,Diesel,145,56.5,2.1
 E Class,2017,22350,Semi-Auto,14850,Diesel,145,61.4,2.0
 C Class,2015,16810,Automatic,44929,Diesel,30,64.2,2.1
 C Class,2016,18238,Automatic,44641,Diesel,30,64.2,2.1
 GLA Class,2016,18990,Automatic,32859,Diesel,125,56.5,2.1
 E Class,2015,15637,Automatic,45943,Diesel,160,51.4,2.1
 C Class,2015,16990,Semi-Auto,11954,Diesel,20,64.2,2.1
 GLC Class,2017,24994,Automatic,9867,Diesel,145,56.5,2.1
 A Class,2019,21991,Semi-Auto,9389,Petrol,145,28.5,1.3
 C Class,2015,15498,Manual,32140,Diesel,20,68.9,2.1
 E Class,2017,54999,Semi-Auto,18682,Petrol,150,31.0,4.0
 CLS Class,2015,18999,Semi-Auto,22067,Diesel,125,57.7,2.1
 E Class,2018,26499,Semi-Auto,17131,Diesel,145,57.7,2.0
 GLB Class,2020,36995,Semi-Auto,1500,Diesel,145,44.8,2.0
 CL Class,2020,31499,Semi-Auto,1500,Petrol,145,44.1,1.3
 C Class,2020,67999,Semi-Auto,1500,Petrol,145,28.0,4.0
 V Class,2020,52999,Semi-Auto,1000,Diesel,145,36.2,2.0
 E Class,2019,44999,Semi-Auto,5500,Petrol,145,29.7,3.0
 C Class,2020,34999,Semi-Auto,1500,Petrol,145,46.3,1.5
 C Class,2016,22680,Semi-Auto,28535,Diesel,125,61.4,2.1
 E Class,2017,23390,Semi-Auto,18362,Diesel,145,70.6,2.0
 C Class,2017,22440,Semi-Auto,32629,Diesel,20,67.3,2.1
 C Class,2016,17820,Semi-Auto,30748,Diesel,20,68.9,2.1
 A Class,2018,19350,Semi-Auto,14792,Diesel,145,67.3,1.5
 A Class,2017,16550,Manual,11460,Petrol,145,49.6,1.6
 GLE Class,2016,25980,Semi-Auto,38942,Diesel,260,42.8,3.0
 A Class,2018,16450,Manual,22883,Diesel,145,68.9,1.5
 E Class,2017,22970,Semi-Auto,22699,Diesel,145,70.6,2.0
 GLA Class,2016,19330,Automatic,35425,Diesel,125,56.5,2.1
 A Class,2017,14998,Semi-Auto,30626,Diesel,150,74.3,1.5
 GLA Class,2014,15498,Semi-Auto,31758,Diesel,145,55.4,2.1
 GLA Class,2016,15998,Manual,40974,Diesel,30,64.2,2.1
 C Class,2016,16498,Semi-Auto,27034,Diesel,30,65.7,1.6
 CL Class,2015,17960,Semi-Auto,30741,Diesel,20,67.3,2.1
 C Class,2015,16998,Semi-Auto,66796,Hybrid,0,74.3,2.1
 C Class,2016,19698,Semi-Auto,41056,Diesel,20,67.3,2.1
 GLE Class,2017,29498,Semi-Auto,25542,Diesel,260,42.8,3.0
 GLA Class,2016,16998,Semi-Auto,30129,Diesel,125,56.5,2.1
 A Class,2017,16998,Semi-Auto,19321,Diesel,150,68.9,2.1
 CL Class,2015,19998,Semi-Auto,29682,Diesel,20,62.8,2.1
 C Class,2016,14800,Semi-Auto,40620,Diesel,30,65.7,1.6
 C Class,2013,9881,Automatic,50591,Petrol,160,46.3,1.6
 GLA Class,2014,13447,Automatic,54146,Diesel,145,55.4,2.1
 C Class,2015,13498,Manual,14480,Petrol,125,53.3,2.0
 A Class,2016,19798,Automatic,17567,Petrol,200,42.8,2.0
 C Class,2019,24450,Semi-Auto,10471,Diesel,145,64.2,2.0
 A Class,2019,20850,Semi-Auto,12220,Petrol,145,53.3,1.3
 B Class,2019,20380,Automatic,14457,Petrol,145,45.6,1.3
 A Class,2019,20980,Semi-Auto,9767,Petrol,145,53.3,1.3
 CL Class,2019,25640,Semi-Auto,10866,Diesel,145,51.4,2.2
 B Class,2018,17990,Automatic,11290,Diesel,145,68.9,2.1
 A Class,2018,19490,Automatic,7286,Petrol,145,53.3,1.3
 A Class,2018,19660,Automatic,5177,Petrol,145,53.3,1.3
 C Class,2017,22590,Semi-Auto,41131,Diesel,30,65.7,2.1
 GLA Class,2017,19340,Semi-Auto,21425,Diesel,145,56.5,2.1
 CL Class,2017,20780,Automatic,23099,Diesel,145,67.3,2.1
 E Class,2015,15880,Automatic,34821,Diesel,125,61.4,2.1
 A Class,2017,15840,Manual,24814,Diesel,145,62.8,2.1
 CL Class,2017,20290,Automatic,21386,Diesel,20,67.3,2.1
 GLC Class,2018,27880,Semi-Auto,10408,Diesel,145,56.5,2.1
 E Class,2017,21820,Automatic,20952,Diesel,145,54.3,3.0
 A Class,2017,17600,Manual,12343,Diesel,145,68.9,1.5
 GLA Class,2016,19640,Automatic,14502,Diesel,125,56.5,2.1
 A Class,2014,10650,Manual,47280,Diesel,20,72.4,1.5
 C Class,2016,13660,Manual,26682,Diesel,20,70.6,2.1
 GLE Class,2016,29950,Semi-Auto,11118,Diesel,260,42.8,3.0
 V Class,2018,19998,Manual,26140,Diesel,145,46.3,2.1
 GLA Class,2016,17450,Semi-Auto,17626,Diesel,30,64.2,2.1
 CL Class,2016,18740,Semi-Auto,32162,Diesel,20,67.3,2.1
 GLA Class,2017,19990,Semi-Auto,14577,Diesel,125,56.5,2.1
 A Class,2017,29840,Semi-Auto,23786,Petrol,145,40.9,2.0
 GLC Class,2018,29440,Semi-Auto,9690,Diesel,145,56.5,2.1
 A Class,2019,19840,Automatic,12066,Petrol,145,53.3,1.3
 A Class,2016,15290,Manual,39162,Diesel,30,62.8,2.1
 C Class,2016,14580,Semi-Auto,33113,Diesel,20,65.7,2.1
 A Class,2019,20780,Semi-Auto,11324,Petrol,145,53.3,1.3
 C Class,2017,23990,Semi-Auto,19784,Petrol,145,42.2,2.0
 E Class,2016,17498,Semi-Auto,54502,Diesel,20,72.4,2.0
 GLE Class,2017,26998,Semi-Auto,37610,Diesel,150,42.8,3.0
 A Class,2017,15750,Semi-Auto,21000,Diesel,145,74.3,1.5
 C Class,2017,16750,Semi-Auto,20000,Diesel,145,65.7,2.1
 E Class,2016,19750,Semi-Auto,29000,Diesel,30,65.7,2.0
 GLE Class,2017,29498,Semi-Auto,22501,Diesel,200,47.9,2.1
 GLE Class,2017,25498,Semi-Auto,35725,Diesel,200,47.9,2.1
 GLA Class,2014,13991,Semi-Auto,42301,Diesel,30,62.8,2.1
 SLK,2013,11991,Semi-Auto,37411,Diesel,150,56.5,2.0
 E Class,2017,18660,Semi-Auto,30007,Diesel,145,72.4,2.0
 A Class,2017,16980,Manual,15734,Diesel,145,62.8,2.1
 C Class,2019,28660,Automatic,1610,Diesel,145,57.7,2.0
 C Class,2017,19490,Semi-Auto,31326,Diesel,125,60.1,2.1
 C Class,2017,21770,Semi-Auto,32790,Diesel,20,67.3,2.1
 CL Class,2018,19991,Semi-Auto,20297,Petrol,145,53.3,1.6
 C Class,2019,25990,Semi-Auto,11728,Diesel,145,56.5,2.0
 C Class,2019,28660,Automatic,6282,Diesel,145,54.3,2.0
 A Class,2019,19990,Semi-Auto,12503,Petrol,145,53.3,1.3
 GLS Class,2019,45550,Automatic,20429,Diesel,145,37.2,3.0
 CLS Class,2016,19770,Automatic,27167,Diesel,125,57.7,2.1
 GLA Class,2018,19950,Automatic,18621,Diesel,145,56.5,2.1
 GLE Class,2018,15491,Semi-Auto,42882,Diesel,150,47.9,2.1
 CLS Class,2013,12210,Automatic,54238,Diesel,145,54.3,2.1
 A Class,2016,14580,Manual,13232,Diesel,30,65.7,2.1
 GLE Class,2017,26600,Automatic,33848,Diesel,145,42.8,3.0
 E Class,2014,13970,Automatic,51176,Diesel,200,47.1,3.0
 A Class,2014,10990,Semi-Auto,49799,Diesel,20,68.9,2.1
 M Class,2013,15880,Semi-Auto,62791,Diesel,300,39.2,3.0
 A Class,2013,10630,Semi-Auto,52214,Diesel,30,65.7,1.8
 C Class,2014,15280,Semi-Auto,25901,Diesel,20,64.2,2.1
 A Class,2019,21490,Automatic,23000,Diesel,145,67.3,1.5
 B Class,2014,8200,Manual,39331,Diesel,0,74.3,1.5
 SLK,2013,10857,Automatic,49284,Petrol,200,43.5,2.0
 GLC Class,2017,27998,Semi-Auto,30459,Diesel,145,56.5,2.1
 E Class,2017,21498,Semi-Auto,20636,Diesel,160,52.3,3.0
 C Class,2016,19290,Semi-Auto,17600,Diesel,30,64.2,2.1
 C Class,2016,16390,Semi-Auto,31360,Diesel,20,64.2,2.1
 A Class,2016,12780,Manual,42769,Diesel,20,72.4,1.5
 CL Class,2014,17660,Semi-Auto,25237,Diesel,30,62.8,2.1
 GLA Class,2018,20550,Semi-Auto,36615,Diesel,145,56.5,2.1
 C Class,2016,18350,Semi-Auto,59625,Diesel,30,64.2,2.1
 A Class,2018,18290,Semi-Auto,7034,Diesel,145,68.9,1.5
 GLE Class,2017,28998,Semi-Auto,18801,Diesel,145,42.8,3.0
 GL Class,2015,30698,Semi-Auto,44902,Diesel,325,36.2,3.0
 E Class,2017,18798,Semi-Auto,42177,Diesel,145,72.4,2.0
